question_id,question,option_a,option_b,option_c,option_d,correct_answer,domain,topic,difficulty_level,difficulty_band
AIML_0013,What does 'git add file.py' do?,Commits file.py,Stages file.py for the next commit,Pushes file.py to remote,Creates a new branch,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0014,What does 'git add .' do?,Adds only Python files,Stages all modified and new files in current directory,Commits all files,Removes deleted files from staging,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0015,What is the staging area in Git?,A remote server,An intermediate area where changes are prepared before committing,A separate branch,A backup copy,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0016,What does 'git add -p' do?,Adds all files,Adds files partially by letting you choose specific hunks,Adds PDF files only,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0017,What does 'git add -u' do?,Adds untracked files,Adds all tracked files that are modified or deleted,Adds only updated files,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0018,What does 'git add -A' include that 'git add .' might miss in older Git?,Nothing extra,Deletions in parent directories,All binary files,Remote files,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0019,What is the purpose of .gitignore?,Speed up git,List files/patterns that Git should not track,Store credentials,List tracked files,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0020,What does 'git reset HEAD file' do?,Deletes file,Commits file,Unstages file while keeping changes,Error,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0021,What is the difference between 'git add' and 'git commit'?,They are the same,add stages changes; commit saves staged changes to history,add commits immediately,commit stages changes,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0022,What does 'git status' show after 'git add file.py'?,file.py in untracked,file.py in 'Changes to be committed',file.py committed,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0023,What does 'git add --dry-run .' show?,Commits files,Shows what would be staged without actually staging,Shows git status,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0024,What happens if you 'git add' a file and then modify it again before committing?,The modification is auto-staged,Only the version at 'git add' time is staged; newer changes need another add,Error,The commit includes both versions,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0025,"What does 'git commit -m ""message""' do?",Stages changes,Pushes to remote,Saves staged changes to the local repository with a message,Updates the index,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0026,What is a commit in Git?,A push to remote,A snapshot of the staged changes at a point in time,A branch,A diff file,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0027,What does 'git commit --amend' do?,Creates a new commit,Reverts last commit,Modifies the most recent commit (message or content),Stages changes,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0028,What does 'git log' show?,Staged files,"List of commits with hash, author, date, and message",Remote branches,Diff of changes,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0029,What does each commit contain?,Only changed files,"Tree (files), parent hash, author, date, and message",Branch info only,Remote URL,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0030,"What does 'git commit -a -m ""msg""' do?",Stages and commits all files including untracked,Stages modified tracked files and commits,Error,Commits without staging,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0031,What is a commit hash?,The commit message,A branch name,A unique 40-character SHA-1 identifier for each commit,The author name,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0032,What does 'git show abc123' display?,Branch info,Changes introduced in commit abc123,All commits,Remote status,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0033,What does HEAD refer to in Git?,The remote server,The oldest commit,The current branch or the latest commit on current branch,The staging area,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0034,What does 'git log --oneline' show?,Full commit details,Abbreviated hash and message for each commit,Only message,Only hashes,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0035,What does 'git diff --cached' show?,Working directory changes,Changes between HEAD and staging area,Changes between two branches,Remote changes,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0036,What is the purpose of writing good commit messages?,Reduce file size,Speed up commits,Document what changed and why for future reference,Enable branching,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0037,What does 'git revert abc123' create?,Deletes commit,A new commit that undoes changes of abc123,Resets to abc123,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0038,What does 'git reset --soft HEAD~1' do?,Deletes last commit and changes,Moves HEAD back one commit keeping changes staged,Unstages changes only,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0039,What does 'git reset --hard HEAD~1' do?,Keeps all changes,Deletes last commit and discards all its changes,Stages changes only,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0040,What does 'git push origin main' do?,Downloads from remote,Uploads local main branch commits to origin remote,Creates main branch,Merges branches,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0041,What does 'git push -u origin main' do?,Push with compression,Push and set upstream tracking for main branch,Push all branches,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0042,What is an upstream branch in Git?,A parent branch,The remote branch that a local branch tracks,A branch ahead in commits,An admin branch,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0043,What does 'git push --force' do?,Prevents push,Pushes even if it would overwrite remote history (dangerous),Forces pull first,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0044,When does 'git push' fail?,Always,When local is behind remote (non-fast-forward),When files are untracked,When branch is main,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0045,What does 'git push origin --delete branchname' do?,Creates branch,Merges branch,Deletes remote branch 'branchname',Error,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0046,What does 'git push --tags' do?,Pushes commits only,Pushes all local tags to remote,Deletes tags,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0047,What does 'git push --force-with-lease' do?,Same as --force,Safer force push: fails if someone else pushed since last fetch,Pushes only one commit,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0048,What does 'origin' represent in git push origin main?,Local branch,The first commit,Default name for the remote repository,A username,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0049,What is the result of pushing to a repository you don't have write access to?,Silent failure,Automatic fork,Remote refuses push with permission error,Creates read-only copy,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0050,What does git push do with no arguments (when upstream is set)?,Error,Pushes all branches,Pushes current branch to its tracked upstream,Pulls first,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0051,What does 'git remote add origin URL' do?,Clones remote,Links local repo to a remote repository named origin,Creates branch,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0052,What does 'git pull' do?,Pushes local commits,Fetches from remote AND merges into current branch,Only fetches commits,Stages files,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0053,What is the difference between 'git fetch' and 'git pull'?,No difference,fetch downloads changes without merging; pull downloads and merges,pull only downloads; fetch merges,fetch creates new branches,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0054,What does 'git pull --rebase' do?,Merges with a merge commit,Replays local commits on top of fetched commits instead of merging,Downloads all branches,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0055,What is a merge conflict in git pull?,Error in merge strategy,When remote and local changes modify the same lines,When branches differ,When push fails,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0056,What does 'git pull origin main' do?,Pull from main only if it exists,Fetch and merge origin/main into current branch,Create main locally,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0057,What does 'git fetch origin' do?,Merges remote changes,Downloads all remote tracking branches without merging,Only checks status,Creates new branch,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0058,"After resolving a merge conflict during pull, what must you do?",git pull again,git push,Stage resolved files and git commit,git reset,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0059,What does FETCH_HEAD refer to?,The fetched branch name,The commit fetched by the last git fetch,Remote URL,A temporary branch,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0060,What does 'git pull --no-commit' do?,Never commits pull,"Performs the merge but stops before committing, allowing inspection",Pulls without merging,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0061,What happens when you try to pull with uncommitted local changes that conflict?,Auto-stash happens,Git refuses and asks to stash or commit first,Pull proceeds silently,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0062,What does 'git remote -v' show after setting up origin?,Local branches,Origin fetch and push URLs,Commit history,Status,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0063,What does 'git stash' help with when pulling?,Commit changes,Temporarily shelves uncommitted changes so pull can proceed,Ignore conflicts,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0064,What is a branch in Git?,A copy of the entire repository,A lightweight pointer to a specific commit enabling parallel development,A remote server,A version tag,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0065,What does 'git branch feature' create?,Switches to feature,Pushes feature to remote,Creates a new local branch called feature,Merges feature,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0066,What does 'git checkout -b feature' do?,Only creates feature,Creates feature branch and switches to it,Error,Only switches,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0067,What does 'git switch -c feature' do (modern syntax)?,Deletes feature,Same as checkout -b: creates and switches to feature,Only switches,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0068,What does 'git branch -d feature' do?,Force deletes feature,Deletes the local feature branch (only if merged),Creates feature,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0069,What does 'git branch -D feature' do?,Same as -d,Force deletes feature branch even if unmerged,Error,Pushes feature,A,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0070,What does 'git branch -a' show?,Local branches only,Remote branches only,All local and remote tracking branches,Deleted branches,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0071,What does 'git checkout main' do?,Creates main,Deletes current branch,Switches working directory to main branch,Error,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0072,What is the HEAD pointer when on branch 'main'?,Points to origin,Points to the latest commit on main,Points to oldest commit,Points to staging area,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0073,What is a detached HEAD state?,Normal state,HEAD points to a commit rather than a branch,HEAD is missing,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0074,What does 'git branch -m old new' do?,Deletes old,Merges branches,Renames branch 'old' to 'new',Error,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0075,What does 'git log --all --graph --oneline' visualize?,Files changed,Full branching history with graph,Only current branch,Remote info,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0076,What is the purpose of a feature branch strategy?,Faster commits,Isolate new features from main codebase until ready,Reduce repo size,Push directly to main,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0077,What does 'git stash branch feature' do?,Stashes to feature,Creates feature branch and applies the stash to it,Error,Deletes stash,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0078,What does 'git cherry-pick abc123' do?,Merges all commits,Applies the specific commit abc123 to current branch,Reverts commit,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0079,What does 'git merge feature' do when on main?,Pushes feature to main,Merges feature branch into current main branch,Creates a new branch,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0080,What is a fast-forward merge?,A merge with a commit,"When target has no new commits, branch pointer just moves forward",A force merge,A rebase,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0081,What is a three-way merge?,Merging three branches,A merge that creates a new merge commit using both branch tips and common ancestor,Fast forward only,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0082,What is a merge commit?,A regular commit,A special commit with two parents combining two branch histories,A reverted commit,A tag,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0083,What does 'git merge --no-ff feature' do?,Fast-forward merge,Always creates a merge commit even if fast-forward is possible,Error,Cancels merge,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0084,What does 'git merge --squash feature' do?,Creates merge commit,Compresses all feature commits into one staged change without merge commit,Fast-forwards,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0085,How do you abort a merge in progress after a conflict?,git merge stop,git checkout main,git reset HEAD,git merge --abort,D,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0086,What is a merge conflict?,When branches differ in name,When two branches modify the same lines in incompatible ways,When merge is too large,When push fails,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0087,What conflict markers does Git insert into a file?,"<<<, ===, >>>","<conflict>, <theirs>, <ours>",[CONFLICT],(start) (end),A,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0088,What does rebasing do versus merging?,Same result,Rebase rewrites commits to create linear history; merge creates merge commit,Rebase is faster,Merge is deprecated,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0089,What does 'git log --merges' show?,All commits,Only merge commits,Branches only,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0090,What is the golden rule of rebasing?,Always rebase public branches,Never rebase commits that have been pushed to a shared repository,Rebase before pushing,Merge before rebasing,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0091,What does 'git merge --ff-only feature' do?,Forces a merge commit,Merges only if fast-forward is possible; otherwise fails,Force merges,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0092,What does 'git diff main..feature' show?,All changes in main,Changes in feature that are not in main,Common changes,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0093,What is the purpose of a Pull Request (PR) or Merge Request (MR)?,Directly merging code,A code review workflow where changes are reviewed before merging,A type of commit,Pulling from remote,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0094,What is a scalar in mathematics?,A quantity with both magnitude and direction,A quantity with only magnitude and no direction,A two-dimensional array of numbers,An ordered list of numbers,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0095,Which of the following is an example of a scalar quantity?,Velocity,Force,Temperature,Displacement,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0097,"In machine learning, a bias term is considered a:",Vector,Matrix,Scalar,Tensor,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0098,Which operation is NOT defined for a single scalar?,Multiplication by another scalar,Addition to another scalar,Dot product with another scalar,Transpose,D,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0101,Which statement about scalars is true?,They have a direction component,They are always positive,They can represent a single data point like age or temperature,They require at least two dimensions,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0102,What does it mean for a scalar to be dimensionless?,It equals zero,It has no physical units,It cannot be multiplied,It is always an integer,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0103,"In the equation y = mx + b, which term is typically a scalar bias?",y,m,x,b,D,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0104,What is a vector?,A quantity with only magnitude,An ordered list of numbers with both magnitude and direction,A square array of numbers,A single numerical value,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0106,"What is the result of [1,2,3] + [4,5,6]?","[5,7,9]","[4,10,18]","[1,2,3,4,5,6]","[3,3,3]",A,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0111,What operation scales every element of a vector by a constant?,Dot product,Cross product,Scalar multiplication,Transposition,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0112,The result of the dot product of two vectors is:,A vector,A matrix,A scalar,Another list,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0113,"What is 2 * [3, 1, 4]?","[3,1,4,3,1,4]","[6,2,8]","[9,3,12]","[5,3,6]",B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0114,"In NumPy, which function computes the dot product of two vectors?",np.cross(),np.add(),np.dot(),np.mult(),C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0115,What does it mean to normalize a vector?,Make all elements positive,Scale it so its magnitude equals 1,Multiply it by its transpose,Sum all elements to 1,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0116,What is a matrix?,A single number,A one-dimensional list,A rectangular array of numbers arranged in rows and columns,A set of scalars without structure,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0117,What is the shape of a matrix with 4 rows and 3 columns?,"(3,4)","(4,3)","(12,1)","(1,12)",B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0118,"What is the transpose of matrix [[1,2],[3,4]]?","[[1,3],[2,4]]","[[4,3],[2,1]]","[[1,2],[3,4]]","[[2,1],[4,3]]",A,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0119,A matrix where number of rows equals number of columns is called:,Rectangular matrix,Identity matrix,Square matrix,Diagonal matrix,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0120,What is the identity matrix?,A matrix of all ones,A matrix where every element is zero,A square matrix with ones on the diagonal and zeros elsewhere,A matrix equal to its transpose,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0121,What does a zero matrix contain?,Only diagonal elements,All zeros,Only ones,Random values,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0122,What is the trace of a square matrix?,Sum of all elements,Product of diagonal elements,Sum of diagonal elements,Number of non-zero elements,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0123,A symmetric matrix satisfies:,A = -A^T,A * A = I,A = A^T,det(A) = 0,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0124,What is a diagonal matrix?,A matrix with all equal elements,A matrix with non-zero values only on the main diagonal,A matrix where every row sums to 1,A transposed matrix,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0125,"In NumPy, which function creates a 3x3 identity matrix?",np.zeros(3),"np.ones((3,3))",np.eye(3),np.identity_matrix(3),C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0126,What does the determinant of a matrix tell you?,Number of rows,Whether the matrix is invertible (non-zero = invertible),Sum of all elements,Rank of the matrix,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0127,What is the rank of a matrix?,Number of rows,Number of columns,Number of linearly independent rows or columns,The determinant value,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0128,"For matrix multiplication AÃ—B to be valid, what must be true?",Both matrices must be square,Number of columns of A must equal number of rows of B,Both matrices must have the same number of rows,They must have the same shape,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0129,What is the result shape when multiplying a (3Ã—2) matrix by a (2Ã—4) matrix?,(2Ã—2),(3Ã—4),(3Ã—2),(4Ã—3),B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0130,What does element-wise multiplication of two matrices require?,Matrices must be square,Matrices must have identical shapes,Second matrix must be the transpose of first,No shape requirement,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0131,"What is the result of A + B for matrices A=[[1,2],[3,4]] and B=[[5,6],[7,8]]?","[[6,8],[10,12]]","[[5,12],[21,32]]","[[4,4],[4,4]]","[[1,2,5,6],[3,4,7,8]]",A,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0132,What does multiplying a matrix by the identity matrix produce?,A zero matrix,The original matrix,The transpose,The inverse,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0133,What is the inverse of matrix A?,A matrix A^(-1) such that A Ã— A^(-1) = I,The transpose of A,A matrix with all elements negated,The determinant of A,A,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0134,Which matrix operation is NOT commutative in general?,Addition,Scalar multiplication,Matrix multiplication,Element-wise addition,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0135,"What does np.matmul(A, B) compute?",Element-wise product,Matrix multiplication,Sum of all elements,Transpose,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0136,"For a (2Ã—3) matrix, what shape is its transpose?",(2Ã—3),(3Ã—3),(3Ã—2),(2Ã—2),C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0137,What property does matrix addition satisfy?,AB = BA,A+B = B+A,A(BC) â‰ (AB)C,A+0 â‰ A,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0138,What does the Frobenius norm of a matrix compute?,Sum of diagonal,Square root of sum of squares of all elements,Maximum element,Determinant,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0139,What is eigendecomposition used for in ML?,Training neural networks,Reducing dimensions by finding eigenvectors of covariance matrix,Normalizing data,Computing gradients,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0140,What does np.linalg.inv(A) compute?,Transpose of A,Eigenvalues of A,Inverse of matrix A,Determinant of A,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0141,What does np.linalg.det(A) return?,Rank of A,Trace of A,Inverse of A,Determinant of A,D,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0144,What is the formula for the arithmetic mean?,Sum of values divided by the count of values,Sum of values multiplied by count,Maximum value minus minimum value,Most frequent value,A,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0146,How does adding a constant c to every value affect the mean?,Mean stays the same,Mean increases by c,Mean decreases by c,Mean is multiplied by c,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0148,The sum of deviations of all values from their mean is always:,Positive,Negative,Equal to the variance,Zero,D,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0149,Which Python expression computes the mean of list nums?,sum(nums),sum(nums)/len(nums),max(nums)-min(nums),len(nums)/sum(nums),B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0150,How does doubling all values in a dataset affect the mean?,No change,Mean is halved,Mean is doubled,Mean increases by 2,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0153,Why is the median preferred over mean for skewed data?,It uses all data points,It is easier to compute,It is not affected by extreme outliers,It equals the mode always,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0154,What must you do before finding the median of a dataset?,Remove outliers,Sort the values,Compute the mean,Find the mode,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0155,"For a dataset with an odd number of values, the median is:",The average of two middle values,The value at position (n+1)/2 after sorting,The most frequent value,Always greater than the mean,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0157,Adding a very large outlier to a dataset will most affect which statistic?,Median,Mode,Mean,Range becomes irrelevant,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0159,What does it mean for a dataset to have no mode?,All values are zero,All values appear exactly once,The median equals the mean,The dataset is empty,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0160,A dataset is called bimodal when:,It has two identical values,It has exactly two modes,The mean equals the median,It has no mode,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0162,For which type of data is the mode the most appropriate measure of central tendency?,Continuous numerical,Categorical data,Ratio scale data,Negative numbers,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0163,What function does scipy.stats.mode() return?,Mean of the data,Median of the data,Most frequently occurring value,Standard deviation,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0164,What does variance measure?,The central value of a dataset,The spread or dispersion of data around the mean,The most common value,The difference between max and min,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0165,What is the formula for population variance?,Mean of absolute deviations,Sum of squared deviations from mean divided by N,Sum of deviations divided by N-1,Square root of standard deviation,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0167,Sample variance divides by N-1 instead of N to:,Make calculation easier,Produce an unbiased estimate of population variance,Match the mean calculation,Always give a larger result,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0169,How does multiplying all values by constant k affect the variance?,Variance stays same,Variance increases by k,Variance is multiplied by kÂ²,Variance is multiplied by k,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0170,Which NumPy function calculates the variance of an array?,np.std(),np.var(),np.mean(),np.cov(),B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0171,What does a high variance indicate about a dataset?,Data is clustered tightly,Data is evenly distributed,Data points are spread widely from the mean,Mean equals median,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0172,What is the standard deviation?,The square of the variance,The square root of the variance,The mean of absolute deviations,Half of the range,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0173,Standard deviation is always expressed in:,Squared units,The same units as the original data,Percentage,Dimensionless units,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0175,What does a standard deviation close to zero indicate?,High variability,Data has many outliers,Data values are close to the mean,Mean is close to zero,C,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0177,Which NumPy function computes standard deviation?,np.variance(),np.deviation(),np.spread(),np.std(),D,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
AIML_0178,What is the coefficient of variation (CV)?,Variance divided by mean,Standard deviation divided by mean Ã— 100%,Mean divided by variance,Range divided by mean,B,AIML,Mathematical Foundations,Foundational (L1-L10),Foundational
